source,Claims,Frequency
https://townhall.com/tipsheet/rebeccadowns/2021/11/13/climate-deal-reached-at-cop26-n2599061,no claim,19
https://townhall.com/tipsheet/spencerbrown/2021/06/17/climate-activists-get-so-woke-they-cancel-themselves-n2591126,no claim,9
https://townhall.com/tipsheet/spencerbrown/2021/11/02/the-climate-summit-in-glasgow-doesnt-look-very-climate-friendly-n2598370,no claim,20
https://townhall.com/tipsheet/spencerbrown/2021/11/02/the-climate-summit-in-glasgow-doesnt-look-very-climate-friendly-n2598370,Climate movement is unreliable/alarmist/corrupt,1
https://townhall.com/tipsheet/spencerbrown/2021/12/13/no-science-doesnt-confirm-climate-change-causes-tornado-carnage-n2600499,no claim,9
https://townhall.com/tipsheet/spencerbrown/2021/12/13/no-science-doesnt-confirm-climate-change-causes-tornado-carnage-n2600499,Extreme weather isn’t increasing/has happened before/isn’t linked to climate change,7
https://townhall.com/tipsheet/spencerbrown/2021/12/13/no-science-doesnt-confirm-climate-change-causes-tornado-carnage-n2600499,"Climate-related science is unreliable/uncertain/unsound (data, methods & models) 0",2
https://trendingviews.co/video/obama-says-republcans-denied-climate-change-and-pandemic-science-11933.html,no claim,2
https://truepundit.com/bill-gates-claims-pandemics-misery-will-happen-regularly-if-climate-change-is-not-stopped/,no claim,6
https://truepundit.com/bill-gates-claims-pandemics-misery-will-happen-regularly-if-climate-change-is-not-stopped/,Climate policies (mitigation or adaptation) are harmful,1
https://truepundit.com/swedes-vote-climate-policy-biggest-waste-of-tax-payer-money-in-2019/,no claim,3
https://truepundit.com/swedes-vote-climate-policy-biggest-waste-of-tax-payer-money-in-2019/,Climate policies (mitigation or adaptation) are harmful,1
https://truepundit.com/swedes-vote-climate-policy-biggest-waste-of-tax-payer-money-in-2019/,Climate policies areinefective/fawed,1
https://twitchy.com/brettt-3136/2020/12/28/bill-gates-among-the-financial-backers-of-experimental-sum-dimming-technology-to-cool-global-warming/,no claim,23
https://twitchy.com/brettt-3136/2021/10/14/heres-video-of-some-of-those-climate-change-protesters-being-forced-back-with-tasers/,no claim,32
https://twitchy.com/brettt-3136/2021/10/28/rep-alexandria-ocasio-cortez-says-whole-regions-of-the-us-will-be-unlivable-by-2038-due-to-climate-change/,no claim,20
https://twitchy.com/brettt-3136/2021/10/28/rep-alexandria-ocasio-cortez-says-whole-regions-of-the-us-will-be-unlivable-by-2038-due-to-climate-change/,We’re heading into an ice age/global cooling,1
https://twitchy.com/dougp-3137/2020/01/04/rage-mob-alert-meat-loafs-comments-about-greta-thunberg-have-caused-global-warming-alarmists-to-get-heated/,no claim,17
https://twitchy.com/dougp-3137/2020/01/04/rage-mob-alert-meat-loafs-comments-about-greta-thunberg-have-caused-global-warming-alarmists-to-get-heated/,Climate movement is unreliable/alarmist/corrupt,4
https://twitchy.com/dougp-3137/2020/12/19/world-economic-forum-reminds-everybody-that-climate-change-made-venus-uninhabitable/,no claim,17
https://twitchy.com/dougp-3137/2020/12/19/world-economic-forum-reminds-everybody-that-climate-change-made-venus-uninhabitable/,It’s natural cycles/variation,2
https://twitchy.com/dougp-3137/2021/08/07/of-course-he-did-guess-how-bidens-climate-envoy-john-kerry-got-to-obamas-scaled-back-birthday-party-on-the-vineyard/,no claim,11
https://twitchy.com/dougp-3137/2021/08/07/of-course-he-did-guess-how-bidens-climate-envoy-john-kerry-got-to-obamas-scaled-back-birthday-party-on-the-vineyard/,Climate movement is unreliable/alarmist/corrupt,1
https://twitchy.com/dougp-3137/2021/09/25/global-warming-causes-gutfeld-to-top-all-climate-night-dem-water-carriers-in-the-ratings/,no claim,15
https://twitchy.com/dougp-3137/2021/10/30/very-green-biden-flew-to-europe-has-an-85-vehicle-motorcade-ahead-of-meetings-to-address-climate-emergency/,no claim,19
https://twitchy.com/gregp-3534/2020/02/12/thanks-realdonaldtrump-the-united-states-led-the-world-in-2019-in-reducing-energy-related-co2-emissions-on-a-per-country-basis/,no claim,8
https://twitchy.com/gregp-3534/2021/10/31/president-biden-skips-major-climate-change-photo-op-with-other-world-leaders-at-the-trevi-fountain-in-rome/,no claim,15
https://twitchy.com/gregp-3534/2021/11/07/president-biden-under-fire-for-allegedly-farting-during-the-cop26-global-warming-conference/,no claim,12
https://twitchy.com/jacobb-38/2020/12/13/ted-cruzs-response-to-kamala-harris-climate-tweet-shows-just-how-much-dems-have-learned-or-havent-learned-in-four-years/,no claim,10
https://twitchy.com/samj-3930/2021/02/07/great-job-sleepy-joe-france-already-found-guilty-of-failing-to-meet-its-own-paris-climate-accord-commitments/,no claim,3
https://twitchy.com/samj-3930/2021/02/07/great-job-sleepy-joe-france-already-found-guilty-of-failing-to-meet-its-own-paris-climate-accord-commitments/,Climate movement is unreliable/alarmist/corrupt,1
https://twitchy.com/sarahd-313035/2020/02/11/dont-tell-greta-looks-like-wind-powers-clean-energy-is-a-lot-dirtier-than-climate-change-warriors-said-it-would-be/,no claim,5
https://twitchy.com/sarahd-313035/2020/02/11/dont-tell-greta-looks-like-wind-powers-clean-energy-is-a-lot-dirtier-than-climate-change-warriors-said-it-would-be/,Clean energy technology/biofuels won’t work,3
https://twitchy.com/sarahd-313035/2020/09/14/wheres-your-climate-change-now-gavin-newsom-guy-arrested-for-starting-brushfire-in-portland-gets-released-allegedly-starts-more-fires/,no claim,13
https://twitchy.com/sarahd-313035/2021/10/07/jen-psaki-explains-that-of-course-the-biden-admin-would-love-to-keep-gas-prices-low-but-its-just-this-damn-climate-crisis-you-see-video/,no claim,15
https://twitchy.com/sarahd-313035/2021/10/07/jen-psaki-explains-that-of-course-the-biden-admin-would-love-to-keep-gas-prices-low-but-its-just-this-damn-climate-crisis-you-see-video/,Climate policies (mitigation or adaptation) are harmful,1
https://twitchy.com/sarahd-313035/2021/10/26/if-this-map-of-the-us-in-30-years-is-accurate-climate-change-will-cause-italy-to-float-all-the-way-to-nebraska-pic/,no claim,29
https://unearthed.greenpeace.org/2021/10/21/leaked-climate-lobbying-ipcc-glasgow/,no claim,11
https://unearthed.greenpeace.org/2021/10/21/leaked-climate-lobbying-ipcc-glasgow/,Climate movement is unreliable/alarmist/corrupt,3
https://unitynewsnetwork.co.uk/greta-thunberg-says-the-fight-for-climate-change-and-social-justice-is-the-same-fight/,no claim,4
https://unitynewsnetwork.co.uk/prince-harry-claims-climate-change-is-one-of-the-two-most-pressing-issues/,no claim,5
https://wattsupwiththat.com/2020/01/04/nyt-president-trump-to-drop-climate-change-from-federal-infrastructure-planning/,no claim,14
https://wattsupwiththat.com/2021/06/18/what-it-is-like-to-be-a-climate-realist/,no claim,14
https://wattsupwiththat.com/2021/06/18/what-it-is-like-to-be-a-climate-realist/,Climate movement is unreliable/alarmist/corrupt,1
https://wattsupwiththat.com/2021/06/19/aussie-acting-prime-minister-hell-will-freeze-over-before-i-start-listening-to-the-greens-on-climate-change/,no claim,17
https://wattsupwiththat.com/2021/09/04/ipcc-6th-climate-report-who-deleted-the-medieval-warm-period-tracks-lead-to-university-of-bern/,no claim,35
https://wattsupwiththat.com/2021/09/04/ipcc-6th-climate-report-who-deleted-the-medieval-warm-period-tracks-lead-to-university-of-bern/,"Climate-related science is unreliable/uncertain/unsound (data, methods & models) 0",7
https://wattsupwiththat.com/2021/09/04/ipcc-6th-climate-report-who-deleted-the-medieval-warm-period-tracks-lead-to-university-of-bern/,Climate movement is unreliable/alarmist/corrupt,7
https://wattsupwiththat.com/2021/09/04/ipcc-6th-climate-report-who-deleted-the-medieval-warm-period-tracks-lead-to-university-of-bern/,It’s natural cycles/variation,4
https://wattsupwiththat.com/2021/10/24/more-embarrassment-cop26-luxury-evs-to-be-recharged-using-diesel-generators/,no claim,17
https://www.ancient-origins.net/news-general/southeast-asian-megadrought-0014160,no claim,11
https://www.ancient-origins.net/news-general/southeast-asian-megadrought-0014160,It’s natural cycles/variation,3
https://www.ancient-origins.net/news-history-archaeology/caerlaverock-castle-0015529,no claim,19
https://www.ancient-origins.net/news-science-space/dune-climate-0016042,no claim,17
https://www.apost.com/en/blog/jane-fonda-wears-6-year-old-gown-at-oscars-vowing-not-to-buy-new-clothes-to-fight-climate-change/27378/,no claim,9
https://www.beliefnet.com/columnists/idolchatter/2020/12/christian-actor-kevin-sorbo-says-global-warming-coronavirus-are-scare-tactics.html,no claim,6
https://www.beliefnet.com/columnists/idolchatter/2020/12/christian-actor-kevin-sorbo-says-global-warming-coronavirus-are-scare-tactics.html,Climate movement is unreliable/alarmist/corrupt,1
https://www.bizpacreview.com/2020/02/13/u-s-leads-all-countries-in-reduction-of-co2-emissions-since-leaving-paris-climate-accord-886749,no claim,31
https://www.bizpacreview.com/2020/02/13/u-s-leads-all-countries-in-reduction-of-co2-emissions-since-leaving-paris-climate-accord-886749,Climate policies (mitigation or adaptation) are harmful,1
https://www.bizpacreview.com/2020/02/13/u-s-leads-all-countries-in-reduction-of-co2-emissions-since-leaving-paris-climate-accord-886749,Clean energy technology/biofuels won’t work,1
https://www.bizpacreview.com/2020/03/24/fight-to-hold-coronavirus-bill-hostage-over-climate-change-and-other-liberal-goodies-is-a-disgrace-900815,no claim,13
https://www.bizpacreview.com/2020/06/30/award-winning-environmentalist-pens-eye-popping-mea-culpa-apologizes-for-his-part-in-climate-scare-941292,no claim,15
https://www.bizpacreview.com/2020/06/30/award-winning-environmentalist-pens-eye-popping-mea-culpa-apologizes-for-his-part-in-climate-scare-941292,Climate movement is unreliable/alarmist/corrupt,5
https://www.bizpacreview.com/2020/06/30/award-winning-environmentalist-pens-eye-popping-mea-culpa-apologizes-for-his-part-in-climate-scare-941292,Extreme weather isn’t increasing/has happened before/isn’t linked to climate change,1
https://www.bizpacreview.com/2020/06/30/award-winning-environmentalist-pens-eye-popping-mea-culpa-apologizes-for-his-part-in-climate-scare-941292,People need energy (e.g. from fossil fuels/nuclear),1
https://www.bizpacreview.com/2020/06/30/award-winning-environmentalist-pens-eye-popping-mea-culpa-apologizes-for-his-part-in-climate-scare-941292,"Climate-related science is unreliable/uncertain/unsound (data, methods & models) 0",1
https://www.bizpacreview.com/2020/08/06/kamala-harris-ocasio-cortez-push-for-climate-bills-to-be-scored-based-on-how-much-they-impact-black-people-956633,no claim,14
https://www.bizpacreview.com/2020/08/06/kamala-harris-ocasio-cortez-push-for-climate-bills-to-be-scored-based-on-how-much-they-impact-black-people-956633,Climate policies (mitigation or adaptation) are harmful,2
https://www.bizpacreview.com/2020/09/12/tucker-shreds-dems-for-exploiting-wildfires-for-them-climate-change-is-like-systemic-racism-in-the-sky-971516,no claim,25
https://www.bizpacreview.com/2020/12/19/trump-has-power-to-foil-bidens-plans-of-rejoining-paris-climate-accord-1007668/,no claim,25
https://www.bizpacreview.com/2020/12/19/trump-has-power-to-foil-bidens-plans-of-rejoining-paris-climate-accord-1007668/,Climate policies (mitigation or adaptation) are harmful,4
https://www.bizpacreview.com/2020/12/23/ted-cruz-coaches-trump-to-send-iran-deal-and-paris-agreement-to-senate-to-set-them-up-to-fail-1009051/,no claim,22
https://www.bizpacreview.com/2021/03/12/new-czar-john-kerry-says-us-has-to-make-up-for-an-inexcusable-absence-on-climate-change-1041837/,no claim,9
https://www.bizpacreview.com/2021/04/19/did-the-chinese-put-john-kerry-at-the-back-of-the-bus-no-official-vehicle-for-climate-clown-1062302/,no claim,25
https://www.bizpacreview.com/2021/04/19/did-the-chinese-put-john-kerry-at-the-back-of-the-bus-no-official-vehicle-for-climate-clown-1062302/,Climate policies areinefective/fawed,1
https://www.bizpacreview.com/2021/04/22/climate-activists-let-biden-know-what-they-think-of-his-bullst-plans-with-heaping-piles-of-cow-poop-1063766/,no claim,26
https://www.bizpacreview.com/2021/04/22/climate-activists-let-biden-know-what-they-think-of-his-bullst-plans-with-heaping-piles-of-cow-poop-1063766/,Climate policies (mitigation or adaptation) are harmful,2
https://www.bizpacreview.com/2021/04/22/climate-activists-let-biden-know-what-they-think-of-his-bullst-plans-with-heaping-piles-of-cow-poop-1063766/,People need energy (e.g. from fossil fuels/nuclear),1
https://www.bizpacreview.com/2021/11/03/hes-like-mr-magoo-biden-stands-out-as-the-only-cop26-leader-wearing-a-mask-on-world-stage-1157840/,no claim,17
https://www.campusreform.org/?ID=15959,no claim,11
https://www.campusreform.org/?ID=15959,Climate movement is unreliable/alarmist/corrupt,1
https://www.campusreform.org/article?id=17129,no claim,12
https://www.capetownetc.com/cape-town/spekboom-challenge-aims-to-tackle-climate-change/,no claim,10
https://www.capetownetc.com/cape-town/spekboom-challenge-aims-to-tackle-climate-change/,CO2 is benefcial/not a pollutant,1
https://www.cfact.org/2020/01/22/polar-bears-the-end-of-a-climate-delusion-icon/,no claim,5
https://www.cfact.org/2020/01/22/polar-bears-the-end-of-a-climate-delusion-icon/,Species/plants/reefs aren’t showing climate impacts/are benefting from climate change,5
https://www.cfact.org/2020/01/22/polar-bears-the-end-of-a-climate-delusion-icon/,Climate movement is unreliable/alarmist/corrupt,3
https://www.cfact.org/2020/01/22/polar-bears-the-end-of-a-climate-delusion-icon/,"Climate-related science is unreliable/uncertain/unsound (data, methods & models) 0",1
https://www.cfact.org/2020/09/01/point-by-point-rebuttal-of-kamala-harriss-unscientific-climate-tweet/,no claim,6
https://www.cfact.org/2020/09/01/point-by-point-rebuttal-of-kamala-harriss-unscientific-climate-tweet/,Extreme weather isn’t increasing/has happened before/isn’t linked to climate change,3
https://www.cfact.org/2020/09/01/point-by-point-rebuttal-of-kamala-harriss-unscientific-climate-tweet/,It’s natural cycles/variation,1
https://www.cfact.org/2020/09/16/is-mother-earth-angry-countering-pelosis-climate-hustle/,no claim,13
https://www.cfact.org/2020/09/16/is-mother-earth-angry-countering-pelosis-climate-hustle/,Extreme weather isn’t increasing/has happened before/isn’t linked to climate change,2
https://www.cfact.org/2020/12/09/faucis-climate-pandemic-comments-more-predictable-than-weather/,no claim,25
https://www.cfact.org/2020/12/09/faucis-climate-pandemic-comments-more-predictable-than-weather/,It’s natural cycles/variation,1
https://www.cfact.org/2020/12/09/faucis-climate-pandemic-comments-more-predictable-than-weather/,Climate movement is unreliable/alarmist/corrupt,1
https://www.cfact.org/2021/06/06/review-unsettled-what-climate-science-tells-us-what-it-doesnt-and-why-it-matters-by-steven-e-koonin/,no claim,11
https://www.cfact.org/2021/06/06/review-unsettled-what-climate-science-tells-us-what-it-doesnt-and-why-it-matters-by-steven-e-koonin/,"Climate-related science is unreliable/uncertain/unsound (data, methods & models) 0",10
https://www.cfact.org/2021/06/06/review-unsettled-what-climate-science-tells-us-what-it-doesnt-and-why-it-matters-by-steven-e-koonin/,Climate movement is unreliable/alarmist/corrupt,4
https://www.cfact.org/2021/06/06/review-unsettled-what-climate-science-tells-us-what-it-doesnt-and-why-it-matters-by-steven-e-koonin/,Extreme weather isn’t increasing/has happened before/isn’t linked to climate change,1
https://www.chicksonright.com/blog/2020/02/10/jane-fonda-proclaims-to-be-fighting-for-climate-change-with-wearing-an-old-dress/,no claim,21
https://www.chicksonright.com/blog/2020/03/03/despite-climate-change-worries-bloomberg-insists-he-must-fly-private-jet/,no claim,15
https://www.chicksonright.com/blog/2020/03/03/despite-climate-change-worries-bloomberg-insists-he-must-fly-private-jet/,Climate movement is unreliable/alarmist/corrupt,1
https://www.chicksonright.com/blog/2020/03/09/greta-compares-climate-justice-to-gender-equity/,no claim,19
https://www.chicksonright.com/blog/2020/06/14/watch-company-releases-powerful-pro-police-ad-amid-anti-police-climate-opinion/,no claim,15
https://www.chicksonright.com/blog/2021/01/19/joe-bidens-climate-team-just-made-a-ridiculous-claim-suggest-climate-change-is-because-of-systemic-racism/,no claim,8
https://www.chicksonright.com/blog/2021/01/19/joe-bidens-climate-team-just-made-a-ridiculous-claim-suggest-climate-change-is-because-of-systemic-racism/,Climate policies (mitigation or adaptation) are harmful,1
https://www.chicksonright.com/blog/2021/01/29/anti-fossil-fuel-climate-czar-john-kerry-owns-gas-guzzling-private-gulfstream-jet/,no claim,10
https://www.chicksonright.com/blog/2021/01/29/anti-fossil-fuel-climate-czar-john-kerry-owns-gas-guzzling-private-gulfstream-jet/,Climate policies (mitigation or adaptation) are harmful,1
https://www.chicksonright.com/blog/2021/01/29/anti-fossil-fuel-climate-czar-john-kerry-owns-gas-guzzling-private-gulfstream-jet/,Climate movement is unreliable/alarmist/corrupt,1
https://www.chicksonright.com/blog/2021/02/17/hollywood-elitist-and-global-warming-activist-matt-damon-takes-private-jet-to-australia-to-film-movie/,no claim,9
https://www.chicksonright.com/blog/2021/03/01/pope-francis-makes-grave-warning-claims-another-great-flood-is-coming-due-to-global-warming/,no claim,13
https://www.chicksonright.com/blog/2021/04/23/john-kerry-says-we-need-to-get-carbon-dioxide-out-of-the-atmosphere/,no claim,10
https://www.chicksonright.com/blog/2021/04/23/john-kerry-says-we-need-to-get-carbon-dioxide-out-of-the-atmosphere/,CO2 is benefcial/not a pollutant,1
https://www.chicksonright.com/blog/2021/11/01/humiliating-biden-appears-to-fall-asleep-during-climate-change-conference-video/,no claim,16
https://www.chicksonright.com/blog/2021/11/10/obama-issues-dire-warning-to-young-people-at-climate-change-summit-says-stay-angry-blasts-trump/,no claim,15
https://www.chicksonright.com/blog/2021/11/20/breaking-house-dems-pass-bidens-sweeping-social-spending-climate-policy-bill/,no claim,18
https://www.climatedepot.com/2021/11/07/b-c-doctor-clinically-diagnoses-patient-as-suffering-from-climate-change-picked-up-his-patients-chart-penned-in-the-words-climate-change/,no claim,38
https://www.climatedepot.com/2021/11/07/b-c-doctor-clinically-diagnoses-patient-as-suffering-from-climate-change-picked-up-his-patients-chart-penned-in-the-words-climate-change/,Climate movement is unreliable/alarmist/corrupt,1
https://www.conservativedailynews.com/2020/01/chuck-schumer-votes-no-on-usmca-because-it-doesnt-address-climate-change/,no claim,7
https://www.dailysignal.com/2020/01/28/faulty-assumptions-lead-to-fake-news-about-climate-change/,no claim,19
https://www.dailysignal.com/2020/01/28/faulty-assumptions-lead-to-fake-news-about-climate-change/,"Climate-related science is unreliable/uncertain/unsound (data, methods & models) 0",4
https://www.dailysignal.com/2020/01/28/faulty-assumptions-lead-to-fake-news-about-climate-change/,Extreme weather isn’t increasing/has happened before/isn’t linked to climate change,1
https://www.dailysignal.com/2020/01/28/faulty-assumptions-lead-to-fake-news-about-climate-change/,Climate sensitivity is low/negative feedbacks reduce warming,1
https://www.dailysignal.com/2020/02/03/climate-activist-greta-thunberg-nominated-for-nobel-peace-prize/,no claim,10
https://www.dailysignal.com/2020/09/16/bad-polices-not-climate-change-main-driver-of-california-fires/,no claim,19
https://www.dailysignal.com/2020/09/16/bad-polices-not-climate-change-main-driver-of-california-fires/,Climate policies areinefective/fawed,1
https://www.dailysignal.com/2020/09/25/bad-policies-fuel-fires/,no claim,30
https://www.dailysignal.com/2020/09/25/bad-policies-fuel-fires/,Climate movement is unreliable/alarmist/corrupt,2
https://www.dailysignal.com/2020/09/25/bad-policies-fuel-fires/,Extreme weather isn’t increasing/has happened before/isn’t linked to climate change,1
https://www.dailysignal.com/2020/10/27/meet-the-climate-scientists-that-social-media-censors-dont-want-you-to-know-about/,no claim,14
https://www.dailysignal.com/2020/10/27/meet-the-climate-scientists-that-social-media-censors-dont-want-you-to-know-about/,Climate movement is unreliable/alarmist/corrupt,3
https://www.dailysignal.com/2020/10/27/meet-the-climate-scientists-that-social-media-censors-dont-want-you-to-know-about/,There’s no evidence for greenhouse efect/carbon dioxide driving climate change,1
https://www.dailysignal.com/2020/10/27/meet-the-climate-scientists-that-social-media-censors-dont-want-you-to-know-about/,"Climate-related science is unreliable/uncertain/unsound (data, methods & models) 0",1
https://www.dailysignal.com/2020/11/10/biden-likely-would-issue-flurry-of-executive-orders-on-climate-abortion-immigration/,no claim,27
https://www.dailysignal.com/2020/11/23/john-kerry-would-return-as-climate-czar-in-biden-administration/,no claim,15
https://www.dailysignal.com/2020/11/29/the-climate-hustle/,no claim,28
https://www.dailysignal.com/2020/11/29/the-climate-hustle/,Climate movement is unreliable/alarmist/corrupt,4
https://www.dailysignal.com/2020/11/29/the-climate-hustle/,Extreme weather isn’t increasing/has happened before/isn’t linked to climate change,1
https://www.dailysignal.com/2021/02/22/the-dangers-of-climate-change-activists/,no claim,18
https://www.dailysignal.com/2021/02/22/the-dangers-of-climate-change-activists/,Climate movement is unreliable/alarmist/corrupt,2
https://www.dailysignal.com/2021/03/09/12-states-sue-biden-administration-over-climate-policies-massive-expansion-of-regulations/,no claim,9
https://www.dailysignal.com/2021/03/09/12-states-sue-biden-administration-over-climate-policies-massive-expansion-of-regulations/,Climate policies (mitigation or adaptation) are harmful,6
https://www.dailysignal.com/2021/06/17/the-swiss-say-no-nein-to-costly-climate-regulations/,no claim,13
https://www.dailysignal.com/2021/06/17/the-swiss-say-no-nein-to-costly-climate-regulations/,Climate policies (mitigation or adaptation) are harmful,2
https://www.dailysignal.com/2021/08/03/energy-and-climate-policies-cronyism-dont-belong-in-bloated-senate-infrastructure-bill/,no claim,24
https://www.dailysignal.com/2021/08/03/energy-and-climate-policies-cronyism-dont-belong-in-bloated-senate-infrastructure-bill/,Climate policies (mitigation or adaptation) are harmful,1
https://www.dailysignal.com/2021/08/03/energy-and-climate-policies-cronyism-dont-belong-in-bloated-senate-infrastructure-bill/,Climate policies areinefective/fawed,1
https://www.dailysignal.com/2021/09/14/climate-change-is-not-a-crisis/,no claim,15
https://www.dailysignal.com/2021/09/14/climate-change-is-not-a-crisis/,Extreme weather isn’t increasing/has happened before/isn’t linked to climate change,6
https://www.dailysignal.com/2021/09/14/climate-change-is-not-a-crisis/,It’s natural cycles/variation,1
https://www.dailywire.com/news/analysts-climate-alarmism-leading-people-to-have-fewer-children,no claim,11
https://www.dailywire.com/news/another-celebrity-fights-climate-change-by-wearing-vintage-chanel,no claim,9
https://www.dailywire.com/news/another-celebrity-fights-climate-change-by-wearing-vintage-chanel,Climate movement is unreliable/alarmist/corrupt,1
https://www.dailywire.com/news/aoc-blames-climate-change-for-viral-video-of-woman-swimming-in-nyc-subway-sewage,no claim,13
https://www.dailywire.com/news/aoc-blames-climate-change-for-viral-video-of-woman-swimming-in-nyc-subway-sewage,Climate policies (mitigation or adaptation) are harmful,2
https://www.dailywire.com/news/aoc-is-shoving-a-70-billion-civilian-climate-corps-bill-through-congress,no claim,10
https://www.dailywire.com/news/aoc-panics-over-biden-wins-im-overall-100-legitimately-concerned-about-our-climate,no claim,13
https://www.dailywire.com/news/aoc-sounds-off-on-border-crisis-gives-biden-a-pass-blames-imperialism-climate-trade,no claim,14
https://www.dailywire.com/news/as-biden-pushes-climate-change-efforts-china-walks-back-theirs-to-ramp-up-growth,no claim,7
https://www.dailywire.com/news/as-biden-pushes-climate-change-efforts-china-walks-back-theirs-to-ramp-up-growth,Climate policies areinefective/fawed,2
https://www.dailywire.com/news/as-biden-pushes-climate-change-efforts-china-walks-back-theirs-to-ramp-up-growth,Climate policies (mitigation or adaptation) are harmful,1
https://www.dailywire.com/news/biden-admin-to-add-a-climate-policy-czar-to-u-s-military-while-china-builds-hypersonic-missiles-report,no claim,13
https://www.dailywire.com/news/biden-coronavirus-a-wake-up-call-to-act-on-climate-change-push-climate-justice,no claim,9
https://www.dailywire.com/news/biden-coronavirus-a-wake-up-call-to-act-on-climate-change-push-climate-justice,Climate movement is unreliable/alarmist/corrupt,1
https://www.dailywire.com/news/biden-energy-secretary-nominee-some-jobs-may-have-to-be-sacrificed-to-climate-agenda,no claim,12
https://www.dailywire.com/news/biden-energy-secretary-nominee-some-jobs-may-have-to-be-sacrificed-to-climate-agenda,Climate policies (mitigation or adaptation) are harmful,2
https://www.dailywire.com/news/biden-mentions-global-warming-when-talking-about-building-collapse-we-dont-have-any-firm-proof-of-whats-happened,no claim,8
https://www.dailywire.com/news/biden-pandemic-relief-an-opportunity-to-change-the-science-relating-to-global-warming,no claim,8
https://www.dailywire.com/news/biden-picks-john-kerry-for-climate-czar-tom-cotton-slams-kerry-with-perfect-tweet,no claim,11
https://www.dailywire.com/news/biden-voting-for-climate-arsonist-trump-could-cause-suburbs-to-be-blown-away-in-superstorms,no claim,9
https://www.dailywire.com/news/biden-voting-for-climate-arsonist-trump-could-cause-suburbs-to-be-blown-away-in-superstorms,Climate movement is unreliable/alarmist/corrupt,1
https://www.dailywire.com/news/biden-widely-mocked-after-appearing-to-struggle-to-stay-awake-during-climate-change-conference,no claim,26
https://www.dailywire.com/news/biden-widely-mocked-after-appearing-to-struggle-to-stay-awake-during-climate-change-conference,Climate movement is unreliable/alarmist/corrupt,2
https://www.dailywire.com/news/bidens-climate-agenda-wont-replace-jobs-it-seeks-to-kill-separate-ap-wapo-fact-checks-suggest,no claim,8
https://www.dailywire.com/news/bidens-climate-agenda-wont-replace-jobs-it-seeks-to-kill-separate-ap-wapo-fact-checks-suggest,Climate policies (mitigation or adaptation) are harmful,2
https://www.dailywire.com/news/bidens-climate-agenda-wont-replace-jobs-it-seeks-to-kill-separate-ap-wapo-fact-checks-suggest,Clean energy technology/biofuels won’t work,1
https://www.dailywire.com/news/bidens-climate-team-systemic-racism-is-to-blame-for-climate-change,no claim,9
https://www.dailywire.com/news/bidens-climate-team-systemic-racism-is-to-blame-for-climate-change,Climate policies (mitigation or adaptation) are harmful,1
https://www.dailywire.com/news/bidens-energy-secretary-blasted-for-ghoulish-suggestion-that-climate-change-may-have-played-role-in-condo-collapse,no claim,16
https://www.dailywire.com/news/bill-gates-admits-climate-change-policies-may-cause-some-dislocation-for-2-8-million-americans-who-work-the-in-oil-and-gas-industry,no claim,10
https://www.dailywire.com/news/bill-gates-admits-climate-change-policies-may-cause-some-dislocation-for-2-8-million-americans-who-work-the-in-oil-and-gas-industry,Clean energy technology/biofuels won’t work,2
https://www.dailywire.com/news/bill-gates-raises-1-billion-from-corporate-america-to-fight-climate-change,no claim,8
https://www.dailywire.com/news/bill-gates-wants-to-spend-1-5-billion-alongside-the-biden-administration-to-address-climate-change,no claim,10
https://www.dailywire.com/news/bill-gates-wants-to-spend-1-5-billion-alongside-the-biden-administration-to-address-climate-change,Climate policies areinefective/fawed,2
https://www.dailywire.com/news/bloomberg-has-been-funding-climate-lawyers-inside-liberal-state-ag-offices,no claim,12
https://www.dailywire.com/news/citing-anti-second-amendment-climate-smith-and-wesson-will-move-headquarters-from-massachusetts-to-tennessee,no claim,18
https://www.dailywire.com/news/climate-activists-harry-and-meghan-torched-for-inking-deals-with-fossil-fuel-financiers,no claim,8
https://www.dailywire.com/news/climate-activists-harry-and-meghan-torched-for-inking-deals-with-fossil-fuel-financiers,Climate movement is unreliable/alarmist/corrupt,1
https://www.dailywire.com/news/climate-change-activists-dump-cow-manure-near-white-house-chant-bulls-over-bidens-climate-plan,no claim,12
https://www.dailywire.com/news/climate-change-activists-dump-cow-manure-near-white-house-chant-bulls-over-bidens-climate-plan,Climate policies (mitigation or adaptation) are harmful,1
https://www.dailywire.com/news/climate-change-an-inconvenient-truth-or-convenient-excuse,no claim,15
https://www.dailywire.com/news/climate-change-prediction-bust-leaves-park-scrambling-to-change-signs,no claim,10
https://www.dailywire.com/news/climate-change-prediction-bust-leaves-park-scrambling-to-change-signs,Climate policies (mitigation or adaptation) are harmful,1
https://www.dailywire.com/news/climate-change-prediction-bust-leaves-park-scrambling-to-change-signs,Climate movement is unreliable/alarmist/corrupt,1
https://www.dailywire.com/news/climate-czar-john-kerry-on-private-jet-travel-its-the-only-choice-for-somebody-like-me,no claim,12
https://www.dailywire.com/news/climate-czar-john-kerry-on-private-jet-travel-its-the-only-choice-for-somebody-like-me,Climate movement is unreliable/alarmist/corrupt,1
https://www.dailywire.com/news/climate-expert-shreds-claims-made-by-ocasio-cortez-thunberg-in-congressional-testimony,no claim,14
https://www.dailywire.com/news/climate-expert-shreds-claims-made-by-ocasio-cortez-thunberg-in-congressional-testimony,Extreme weather isn’t increasing/has happened before/isn’t linked to climate change,1
